Species,Host,Year,Location,Haplogroup,GROUP,Description
V. destructor,A. mellifera,2005?,Algeria,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,2005?,Argentina,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,2006-2009,Argentina,VD_Korea_K1,VD_K_type,Year:2006-2009 Ref:Maggi et al. (2012)
V. destructor,A. mellifera,1995,Argentina,VD_Korea_K1,VD_K_type,Year:1995 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2009?,Argentina,VD_Korea_K1,VD_K_type,Year:2009? Ref:Guerra et al. (2010)
V. destructor,A. mellifera,NA,Argentina,VD_Korea_K1,VD_K_type,Year: Ref:Muntaabski et al. (2020)
V. destructor,A. mellifera,1996,Belgium,VD_Korea_K1,VD_K_type,Year:1996 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2017?,Benin,VD_Korea_K1,VD_K_type,Year:2017? Ref:Kelomey et al. (2017)
V. destructor,A. mellifera,1996,Brazil,VD_Japan_J1,VD_Japan_J1,Year:1996 Ref:Garrido et al. (2003)
V. destructor,A. mellifera,1989;1993;1997,Brazil,VD_Japan_J1,VD_Japan_J1,Year:1989;1993;1997 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,1990;1993,Brazil,VD_Japan_J1,VD_Japan_J1,Year:1990;1993 Ref:de Guzman et al. (1997)
V. destructor,A. mellifera,2009?,Brazil,VD_Japan_J1,VD_Japan_J1,Year:2009? Ref:Guerra et al. (2010)
V. destructor,A. mellifera,2009?,Brazil,VD_Japan_J1,VD_Japan_J1,Year:2009? Ref:Strapazzon et al. (2009)
V. destructor,A. mellifera,2013-2015,Brazil,VD_Japan_J1,VD_Japan_J1,Year:2013-2015 Ref:Octaviano-Salvade et al. (2017)
V. destructor,A. mellifera,1996,Brazil,VD_Korea_K1,VD_K_type,Year:1996 Ref:Garrido et al. (2003)
V. destructor,A. mellifera,1997,Brazil,VD_Korea_K1,VD_K_type,Year:1997 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2001,Brazil,VD_Korea_K1,VD_K_type,Year:2001 Ref:Garrido et al. (2003)
V. destructor,A. mellifera,2009?,Brazil,VD_Korea_K1,VD_K_type,Year:2009? Ref:Guerra et al. (2010)
V. destructor,A. mellifera,2009?,Brazil,VD_Korea_K1,VD_K_type,Year:2009? Ref:Strapazzon et al. (2009)
V. destructor,A. mellifera,2013-2015,Brazil,VD_Korea_K1,VD_K_type,Year:2013-2015 Ref:Octaviano-Salvade et al. (2017)
V. destructor,A. mellifera,NA,Brazil,VD_Korea_K1,VD_K_type,Year:NA Ref:Octaviano-Salvade et al. (2017)
V. destructor,A. mellifera,NA,Brazil,COMBINED,KoreaJapan,NA
V. destructor,A. mellifera,2016?,Cameroon,VD_Korea_K1,VD_K_type,Year:2016? Ref:Cham et al. (2017)
V. destructor,Apis mellifera,NA,Cameroon,VD_Korea_K1,VD_K_type,Year: NA Accession: KX255668
V. destructor,A. mellifera,1998?,Canada,VD_Japan_J1,VD_Japan_J1,Year:1998? Ref:de Guzman et al. (1999)
V. destructor,A. mellifera,1996;1997,Canada,VD_Japan_J1,VD_Japan_J1,Year:1996;1997 Ref:Anderson and Trueman (2000)
