Species,Host,Year,Location,Region,Haplogroup,GROUP,coord.X,coord.Y,Coord.type,Description,Source
V. destructor,A. cerana,2002,China,Dayao Co. Yunnan Prov.,VD_China_C3,VD_China_C3,25.49165,100.28198,approximate,Year:2002 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2002,China,"Dayao Co., Yunnan Prov.",VD_China_C4,VD_China_C4,25.49165,100.28198,approximate,Year:2002 Ref:Zhou et al. (2004),Litterature
V. destructor,A. cerana,1996,China,Guangzhou,VD_China_C1,VD_China_C1,23.12911,113.26438,approximate,Year:1996 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. cerana,2004,China,Hunan Prov.,VD_Korea_K1,VD_K_type,28.21266,113.01059,approximate,Year:2004 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2002,China,"Kunming, Yunnan Prov.",VD_China_C2,VD_China_C2,25.12565,102.74318,approximate,Year:2002 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2002,China,"Mongzi Co., Yunnan Prov.",VD_China_C4,VD_China_C4,24.28891,100.94184,approximate,Year:2002 Ref:Zhou et al. (2004),Litterature
V. destructor,A. cerana,2019,China,NA,VD_China_C1,VD_China_C1,23.13,113.29,exact,Year: 2019 Accession: MN551179,NCBI
V. destructor,A. cerana,2004,China,"Nanchang, Jiangxi Prov.",VD_Korea_K1,VD_K_type,28.68289,115.85819,approximate,Year:2004 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2002,China,"Xishuanbanna, Yunnan Prov.",VD_Viet_Nam_V1,VD_Viet_Nam_V1,25.1014,102.35185,approximate,Year:2002 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2001,China,"Xishuangbann, Yunnan Prov.",VD_Viet_Nam_V1,VD_Viet_Nam_V1,24.16863,103.84371,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. cerana,2002,China,"Xishuangbanna, Yunnan Prov.",VD_Viet_Nam_V1,VD_Viet_Nam_V1,25.1014,102.35185,approximate,Year:2002 Ref:Zhou et al. (2004),Litterature
V. destructor,A. cerana,2002,China,"Zhongshan, Guangdong",VD_China_C1,VD_China_C1,24.03474,113.07061,approximate,Year:2002 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2002,China,"Zhongshan, Guangdong Prov.",VD_China_C1,VD_China_C1,23.94609,114.69726,approximate,Year:2002 Ref:Zhou et al. (2004),Litterature
V. destructor,A. cerana,2001,China,"Zhuhai, Guangdong Prov",VD_China_C1,VD_China_C1,22.61401,112.63183,approximate,Year:2001 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2001,China,"Zhuhai, Guangdong Prov.",VD_China_C1,VD_China_C1,22.61401,112.63183,approximate,Year:2001 Ref:Zhou et al. (2004),Litterature
V. destructor,A. cerana,2019,China ,"apiary of Guangdong Institute of Applied Biological Resources, Guangzhou",VD_China_C1,VD_China_C1,23.13,113.29,exact,Year:2019 Ref:Li et al. (2019),Litterature
V. destructor,A. cerana,2014,India,Bengaluru,VD_South_India_1,VD_South_India_1,13.078379,77.579302,approximate,Year:2014 Ref:Bhatta et al. (2019),Litterature
V. destructor,A. cerana,2018,Japan,Aichi,VD_Korea_K1,VD_K_type,34.741276,137.388327,approximate,Year:2018 Ref:Ogihara et al. (2020),Litterature
V. destructor,A. cerana,1994,Japan,"Honshu, Tamagawa",VD_Japan_J1,VD_Japan_J1,35.56704,139.46836,approximate,Year:1994 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. cerana,2018,Japan,Ibaraki,VD_Korea_K1,VD_K_type,36.399891,140.444565,approximate,Year:2018 Ref:Ogihara et al. (2020),Litterature
V. destructor,A. cerana,1998,Japan,Machida,VD_Japan_J1,VD_Japan_J1,35.54663,139.43861,approximate,Year:1998 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2005?,Japan,Machida,VD_Japan_J1,VD_Japan_J1,35.54663,139.43861,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. cerana,2005?,Japan,Machida,VD_Korea_K1,VD_K_type,35.54663,139.43861,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. cerana,2018,Japan,Nagano,VD_Korea_K1,VD_K_type,36.369431,138.224082,approximate,Year:2018 Ref:Ogihara et al. (2020),Litterature
V. destructor,A. cerana,1996,Japan,Shikoku,VD_Japan_J1,VD_Japan_J1,33.74322,133.63753,approximate,Year:1996 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2018,Japan,Shimane,VD_Japan_J1,VD_Japan_J1,35.486496,133.06871,approximate,Year:2018 Ref:Ogihara et al. (2020),Litterature
V. destructor,A. cerana,1994,Japan,Tokyo (Tamagawa Uni),VD_Japan_J1,VD_Japan_J1,35.56704,139.46835,approximate,Year:1994 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2005?,Japan,Yatsuhiro,VD_Japan_J1,VD_Japan_J1,32.475797,130.607262,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
