Species,Host,Year,Location,Haplogroup,Description
Vdestructor,Acerana,,China,China & Korea & Vietnam,
Vdestructor,Acerana,1995-1996,Japan,Japan,Year: 1995-1996 Ref: de Guzman et al. (1997)
Vdestructor,Acerana,,,MixteKJ,
Vdestructor,Acerana,,Nepal,Nepal,
Vdestructor,Acerana,,South Korea,Korea,
Vdestructor,Acerana,,Thailand,Japan & Vietnam,
Vdestructor,Acerana,,Viet Nam,China & Korea & Vietnam,
Vdestructor,Amellifera,2005?,Algeria,Korea,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,1995; 2009?,Argentina,Korea,"Year: 1995; 2009? Ref: Anderson and Trueman (2000), Guerra et al. (2010)"
Vdestructor,Amellifera,1996,Belgium,Korea,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,,Benin,Korea,
Vdestructor,Amellifera,"2009?, 2013-2015",Brazil,MixteKJ,"Year: 2009?, 2013-2015 Ref: Guerra et al. (2010), Octaviano-Salvade et al. (2017)"
Vdestructor,Amellifera,,Cameroon,Korea,
Vdestructor,Amellifera,1996;1997,Canada,MixteKJ,Year: 1996;1997 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,2009?,Chile,Korea,Year: 2009? Ref: Guerra et al. (2010)
Vdestructor,Amellifera,,Chile,MixteKJ,
Vdestructor,Amellifera,2009?,Colombia,Korea,Year: 2009? Ref: Guerra et al. (2010)
Vdestructor,Amellifera,1998,Costa Rica,Korea,Year: 1998 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,2009?,Cuba,Korea,Year: 2009? Ref: Guerra et al. (2010)
Vdestructor,Amellifera,1996,Denmark,Korea,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,1996; 2006; 2007,Egypt,Korea,"Year: 1996; 2006; 2007 Ref: Anderson and Trueman (2000), Awad et al."
Vdestructor,Amellifera,,England,Korea,
Vdestructor,Amellifera,1996,France,Korea,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,,French guyana,MixteKJ,
Vdestructor,Amellifera,NA,Germany,Korea,Year: NA Ref: Alattal. Y.
Vdestructor,Amellifera,1996,Greece,Korea,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,NA,India,Korea,"Year: NA Ref: Gupta,V.K., Kaur,R., Kaur,H. and Chhuneja,P.K."
Vdestructor,Amellifera,"1994;1996,1997",Indonesia,Korea,"Year: 1994;1996,1997 Ref: Anderson and Trueman (2000)"
Vdestructor,Amellifera,NA,Iran,Korea,Year: NA Ref: Hajializadeh et al. 2018
Vdestructor,Amellifera,2017,Iraq,Korea,"Year: 2017 Ref: Mahdi,M.S., Ali,M.B. and AL-Abedy,A.N."
Vdestructor,Amellifera,1996,Israel,Korea,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,1992;1996,Italy,Korea,"Year: 1992;1996 Ref: de Guzman et al. (1997), Anderson and Trueman (2000)"
Vdestructor,Amellifera,,Japan,MixteKJ,
Vdestructor,Amellifera,,Kenya,Korea,
Vdestructor,Amellifera,,Madagascar,Korea,
Vdestructor,Amellifera,,Mauritius,Korea,
Vdestructor,Amellifera,1995; 1998?; 2009?,Mexico,Korea,"Year: 1995; 1998?; 2009? Ref: de Guzman et al. (1999), Anderson and Trueman (2000), Guerra et al. (2010)"
Vdestructor,Amellifera,1992,Morocco,Korea,Year: 1992 Ref: de Guzman et al. (1997)
Vdestructor,Amellifera,1997,Netherlands,Korea,Year: 1997 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,,New Zealand,Korea,
Vdestructor,Amellifera,2009-2010,Nigeria,Korea,Year: 2009-2010 Ref: Akinwande et al. (2012;2013)
Vdestructor,Amellifera,1997;1998,Philippines,Korea,Year: 1997;1998 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,NA,Poland,Korea,"Year: NA Ref: Borsuk,G. and Ptaszynska,A.A."
Vdestructor,Amellifera,1991; 1992,Portugal,Korea,"Year: 1991; 1992 Ref: de Guzman et al. (1997), Anderson and Trueman (2000)"
