Species,Host,Year,Location,Region,Haplogroup,Approx.X,Approx.Y,Description
Vdestructor,Acerana,2013,Viet Nam,Cat Ba,China C1,20.793859,106.989642,Year: 2013 Ref: Beaurepaire et al. (2015)
Vdestructor,Acerana,2001,China,"Zhuhai, Guangdong Prov",China C1,22.61401,112.63183,"Year: 2001 Ref: Navajas et al. (2010), Zhou et al. (2004)"
Vdestructor,Acerana,1996,China,Guangzhou,China C1,23.12911,113.26438,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,2002,China,"Zhongshan, Guangdong Prov.",China C1,23.94609,114.69726,Year: 2002 Ref: Zhou et al. (2004)
Vdestructor,Acerana,2002,China,"Zhongshan, Guangdong",China C1,24.03474,113.07061,Year: 2002 Ref: Navajas et al. (2010)
Vdestructor,Acerana,2002,China,"Mongzi Co., Yunnan Prov.",China C2,24.28891,100.94184,Year: 2002 Ref: Zhou et al. (2004)
Vdestructor,Acerana,2002,China,"Kunming, Yunnan Prov.",China C2,25.12565,102.74318,Year: 2002 Ref: Navajas et al. (2010)
Vdestructor,Acerana,2002,China,"Dayao Co., Yunnan Prov.",China C2 & C3,25.49165,100.28198,"Year: 2002 Ref: Navajas et al. (2010), Zhou et al. (2004)"
Vdestructor,Acerana,1997,Thailand,Bangkok,Japan,13.77083,100.79417,Year: 1997 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,2005?,Japan,Yatsuhiro,Japan,32.475797,130.607262,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Acerana,1996,Japan,Shikoku,Japan,33.74322,133.63753,Year: 1996 Ref: Navajas et al. (2010)
Vdestructor,Acerana,1994,Japan,"Honshu, Tamagawa",Japan,35.56704,139.46836,"Year: 1994 Ref: Anderson and Trueman (2000), Navajas et al. (2010)"
Vdestructor,Acerana,2004,China,Hunan Prov.,Korea,28.21266,113.01059,Year: 2004 Ref: Navajas et al. (2010)
Vdestructor,Acerana,2004,China,"Nanchang, Jiangxi Prov.",Korea,28.68289,115.85819,Year: 2004 Ref: Navajas et al. (2010)
Vdestructor,Acerana,1996,South Korea,Kwangju,Korea,35.15954,126.8526,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,1996; 1997,South Korea,Suwon,Korea,37.26357,127.0286,Year: 1996; 1997 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,1998; 2005?,Japan,Machida,MixteKJ,35.54663,139.43861,"Year: 1998; 2005? Ref: Navajas et al. (2010), Solignac et al. (2005)"
Vdestructor,Acerana,1999?,Viet Nam,Moc Chau,Korea & Vietnam,20.92208,104.75209,Year: 1999? Ref: Fuchs et al. (2000) 
Vdestructor,Acerana,1997,Nepal,Katmandu,Nepal,27.71724,85.32396,Year: 1997 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,2003,Thailand,Bang Changtay,Vietnam,13.7137,100.204369,Year: 2003 Ref: Navajas et al. (2010)
Vdestructor,Acerana,1999?,Viet Nam,Vu Quang,Vietnam,18.387901,105.486822,Year: 1999? Ref: Fuchs et al. (2000) 
Vdestructor,Acerana,2003,Thailand,Chiang Mai,Vietnam,18.80596,98.95336,Year: 2003 Ref: Navajas et al. (2010)
Vdestructor,Acerana,1996,Viet Nam,"Phjong, Ninh Binh Prov.",Vietnam,20.30896,105.64215,Year: 1996 Ref: Anderson and Trueman (2000)
Vdestructor,Acerana,1996; 1999?,Viet Nam,Hanoi,Vietnam,21.00555,105.84346,"Year: 1996; 1999? Ref: Fuchs et al. (2000), Navajas et al. (2010)"
